"bank_name","city","st","cert","acquiring_instituition","closing_date","time"
"NOVA Bank","Berwyn","PA","27148","No Acquirer","1358985600"
"Excel Bank","Sedalia","MO","19189","Simmons First National Bank","1382400000"
"First East Side Savings Bank","Tamarac","FL","28144","Stearns Bank N.A.","1452038400"
"GulfSouth Private Bank","Destin","FL","58073","SmartBank","1395360000"
"First United Bank","Crete","IL","20685","Old Plank Trail Community Bank, National Association","1383264000"
"Truman Bank","St. Louis","MO","27316","Simmons First National Bank","1355702400"
"First Commercial Bank","Bloomington","MN","35246","Republic Bank & Trust Company","1355702400"
"Waukegan Savings Bank","Waukegan","IL","28243","First Midwest Bank","1449446400"
"Jasper Banking Company","Jasper","GA","16240","Stearns Bank N.A.","1395360000"
"Second Federal Savings and Loan Association of Chicago","Chicago","IL","27986","Hinsdale Bank & Trust Company","1358121600"
"Heartland Bank","Leawood","KS","1361","Metcalf Bank","1375142400"
"First Cherokee State Bank","Woodstock","GA","32711","Community & Southern Bank","1395360000"
"Georgia Trust Bank","Buford","GA","57847","Community & Southern Bank","1395360000"
"The Royal Palm Bank of Florida","Naples","FL","57096","First National Bank of the Gulf Coast","1395360000"
"Glasgow Savings Bank","Glasgow","MO","1056","Regional Missouri Bank","1408406400"
"Montgomery Bank & Trust","Ailey","GA","19498","Ameris Bank","1395360000"
"The Farmers Bank of Lynchburg","Lynchburg","TN","1690","Clayton Bank and Trust","1395360000"
"Security Exchange Bank","Marietta","GA","35299","Fidelity Bank","1395360000"
"Putnam State Bank","Palatka","FL","27405","Harbor Community Bank","1395360000"
"Waccamaw Bank","Whiteville","NC","34515","First Community Bank","1395360000"
"Farmers' and Traders' State Bank","Shabbona","IL","9257","First State Bank","1349827200"
"Carolina Federal Savings Bank","Charleston","SC","35372","Bank of North Carolina","1395360000"
"First Capital Bank","Kingfisher","OK","416","F & M Bank","1423094400"
"Alabama Trust Bank, National Association","Sylacauga","AL","35224","Southern States Bank","1442793600"
"Security Bank, National Association","North Lauderdale","FL","23156","Banesco USA","1460419200"
"Palm Desert National Bank","Palm Desert","CA","23632","Pacific Premier Bank","1449446400"
"Plantation Federal Bank","Pawleys Island","SC","32503","First Federal Bank","1395360000"
"Inter Savings Bank, fsb D/B/A InterBank, fsb","Maple Grove","MN","31495","Great Southern Bank","1368748800"
"HarVest Bank of Maryland","Gaithersburg","MD","57766","Sonabank","1442793600"
"Bank of the Eastern Shore","Cambridge","MD","26759","No Acquirer","1350432000"
"Fort Lee Federal Savings Bank, FSB","Fort Lee","NJ","35527","Alma Bank","1368748800"
"Fidelity Bank","Dearborn","MI","33883","The Huntington National Bank","1391472000"
"Premier Bank","Wilmette","IL","35419","International Bank of Chicago","1350432000"
"Covenant Bank & Trust","Rock Spring","GA","58068","Stearns Bank, N.A.","1395360000"
"New City Bank","Chicago","IL","57597","No Acquirer","1351468800"
"Global Commerce Bank","Doraville","GA","34046","Metro City Bank","1403740800"
"Home Savings of America","Little Falls","MN","29178","No Acquirer","1355702400"
"Central Bank of Georgia","Ellaville","GA","5687","Ameris Bank","1395360000"
"SCB Bank","Shelbyville","IN","29761","First Merchants Bank, National Association","1424304000"
"Charter National Bank and Trust","Hoffman Estates","IL","23187","Barrington Bank & Trust Company, National Association","1364169600"
"BankEast","Knoxville","TN","19869","U.S. Bank, N.A.","1449446400"
"Patriot Bank Minnesota","Forest Lake","MN","34823","First Resource Bank","1347408000"
"Tennessee Commerce Bank","Franklin","TN","35296","Republic Bank & Trust Company","1395360000"
"First Guaranty Bank and Trust Company of Jacksonville","Jacksonville","FL","16579","CenterState Bank of Florida, N.A.","1395360000"
"American Eagle Savings Bank","Boothwyn","PA","31581","Capital Bank, N.A.","1359072000"
"The First State Bank","Stockbridge","GA","19252","Hamilton State Bank","1395360000"
"Central Florida State Bank","Belleview","FL","57186","CenterState Bank of Florida, N.A.","1463356800"
"Western National Bank","Phoenix","AZ","57917","Washington Federal","1423094400"
"Premier Community Bank of the Emerald Coast","Crestview","FL","58343","Summit Bank","1395360000"
"Central Progressive Bank","Lacombe","LA","19657","First NBC Bank","1423094400"
"Polk County Bank","Johnston","IA","14194","Grinnell State Bank","1344988800"
"Community Bank of Rockmart","Rockmart","GA","57860","Century Bank of Georgia","1395360000"
"SunFirst Bank","Saint George","UT","57087","Cache Valley Bank","1353024000"
"Mid City Bank, Inc.","Omaha","NE","19397","Premier Bank","1344988800"
"All American Bank","Des Plaines","IL","57759","International Bank of Chicago","1344988800"
"Community Banks of Colorado","Greenwood Village","CO","21132","Bank Midwest, N.A.","1357084800"
"Community Capital Bank","Jonesboro","GA","57036","State Bank and Trust Company","1452038400"
"Decatur First Bank","Decatur","GA","34392","Fidelity Bank","1395360000"
"Old Harbor Bank","Clearwater","FL","57537","1st United Bank","1395360000"
"Country Bank","Aledo","IL","35395","Blackhawk Bank & Trust","1344988800"
"First State Bank","Cranford","NJ","58046","Northfield Bank","1352332800"
"Blue Ridge Savings Bank, Inc.","Asheville","NC","32347","Bank of North Carolina","1395360000"
"Piedmont Community Bank","Gray","GA","57256","State Bank and Trust Company","1395360000"
"Sun Security Bank","Ellington","MO","20115","Great Southern Bank","1352246400"
"The RiverBank","Wyoming","MN","10216","Central Bank","1352246400"
"First International Bank","Plano","TX","33513","American First National Bank","1423094400"
"Citizens Bank of Northern California","Nevada City","CA","33983","Tri Counties Bank","1349740800"
"Bank of the Commonwealth","Norfolk","VA","20408","Southern Bank and Trust Company","1349740800"
"The First National Bank of Florida","Milton","FL","25155","CharterBank","1395360000"
"CreekSide Bank","Woodstock","GA","58226","Georgia Commerce Bank","1395360000"
"Patriot Bank of Georgia","Cumming","GA","58273","Georgia Commerce Bank","1395360000"
"First Choice Bank","Geneva","IL","57212","Inland Bank & Trust","1423094400"
"First Southern National Bank","Statesboro","GA","57239","Heritage Bank of the South","1456876800"
"Lydian Private Bank","Palm Beach","FL","35356","Sabadell United Bank, N.A.","1395360000"
"Public Savings Bank","Huntingdon Valley","PA","34130","Capital Bank, N.A.","1344988800"
"The First National Bank of Olathe","Olathe","KS","4744","Enterprise Bank & Trust","1345680000"
"Bank of Whitman","Colfax","WA","22528","Columbia State Bank","1345075200"
"Bank of Shorewood","Shorewood","IL","22637","Heartland Bank and Trust Company","1345075200"
"Integra Bank National Association","Evansville","IN","4392","Old National Bank","1345075200"
"BankMeridian, N.A.","Columbia","SC","58222","SCBT National Association","1395360000"
"Virginia Business Bank","Richmond","VA","58283","Xenith Bank","1349740800"
"Bank of Choice","Greeley","CO","2994","Bank Midwest, N.A.","1347408000"
"LandMark Bank of Florida","Sarasota","FL","35244","American Momentum Bank","1395360000"
"Southshore Community Bank","Apollo Beach","FL","58056","American Momentum Bank","1423094400"
"Summit Bank","Prescott","AZ","57442","The Foothills Bank","1408406400"
"First Peoples Bank","Port St. Lucie","FL","34870","Premier American Bank, N.A.","1395360000"
"High Trust Bank","Stockbridge","GA","19554","Ameris Bank","1395360000"
"One Georgia Bank","Atlanta","GA","58238","Ameris Bank","1395360000"
"Signature Bank","Windsor","CO","57835","Points West Community Bank","1351209600"
"Colorado Capital Bank","Castle Rock","CO","34522","First-Citizens Bank & Trust Company","1358208000"
"First Chicago Bank & Trust","Chicago","IL","27935","Northbrook Bank & Trust Company","1347148800"
"Mountain Heritage Bank","Clayton","GA","57593","First American Bank and Trust Company","1395360000"
"First Commercial Bank of Tampa Bay","Tampa","FL","27583","Stonegate Bank","1395360000"
"McIntosh State Bank","Jackson","GA","19237","Hamilton State Bank","1395360000"
"Atlantic Bank and Trust","Charleston","SC","58420","First Citizens Bank and Trust Company, Inc.","1395360000"
"First Heritage Bank","Snohomish","WA","23626","Columbia State Bank","1359331200"
"Summit Bank","Burlington","WA","513","Columbia State Bank","1358812800"
"First Georgia Banking Company","Franklin","GA","57647","CertusBank, National Association","1395360000"
"Atlantic Southern Bank","Macon","GA","57213","CertusBank, National Association","1395360000"
"Coastal Bank","Cocoa Beach","FL","34898","Florida Community Bank, a division of Premier American Bank, N.A.","1442793600"
"Community Central Bank","Mount Clemens","MI","34234","Talmer Bank & Trust","1345075200"
"The Park Avenue Bank","Valdosta","GA","19797","Bank of the Ozarks","1395360000"
"First Choice Community Bank","Dallas","GA","58539","Bank of the Ozarks","1442793600"
"Cortez Community Bank","Brooksville","FL","57625","Florida Community Bank, a division of Premier American Bank, N.A.","1458864000"
"First National Bank of Central Florida","Winter Park","FL","26297","Florida Community Bank, a division of Premier American Bank, N.A.","1462320000"
"Heritage Banking Group","Carthage","MS","14273","Trustmark National Bank","1395360000"
"Rosemount National Bank","Rosemount","MN","24099","Central Bank","1449446400"
"Superior Bank","Birmingham","AL","17750","Superior Bank, National Association","1395360000"
"Nexity Bank","Birmingham","AL","19794","AloStar Bank of Commerce","1395360000"
"New Horizons Bank","East Ellijay","GA","57705","Citizens South Bank","1395360000"
"Bartow County Bank","Cartersville","GA","21495","Hamilton State Bank","1395360000"
"Nevada Commerce Bank","Las Vegas","NV","35418","City National Bank","1347148800"
"Western Springs National Bank and Trust","Western Springs","IL","10086","Heartland Bank and Trust Company","1358812800"
"The Bank of Commerce","Wood Dale","IL","34292","Advantage National Bank Group","1358812800"
"Legacy Bank","Milwaukee","WI","34818","Seaway Bank and Trust Company","1347408000"
"First National Bank of Davis","Davis","OK","4077","The Pauls Valley National Bank","1345420800"
"Valley Community Bank","St. Charles","IL","34187","First State Bank","1423094400"
"San Luis Trust Bank, FSB","San Luis Obispo","CA","34783","First California Bank","1345420800"
"Charter Oak Bank","Napa","CA","57855","Bank of Marin","1347408000"
"Citizens Bank of Effingham","Springfield","GA","34601","Heritage Bank of the South","1395360000"
"Habersham Bank","Clarkesville","GA","151","SCBT National Association","1395360000"
"Canyon National Bank","Palm Springs","CA","34692","Pacific Premier Bank","1408406400"
"Badger State Bank","Cassville","WI","13272","Royal Bank","1347408000"
"Peoples State Bank","Hamtramck","MI","14939","First Michigan Bank","1358812800"
"Sunshine State Community Bank","Port Orange","FL","35478","Premier American Bank, N.A.","1460419200"
"Community First Bank Chicago","Chicago","IL","57948","Northbrook Bank & Trust Company","1345420800"
"North Georgia Bank","Watkinsville","GA","35242","BankSouth","1395360000"
"American Trust Bank","Roswell","GA","57432","Renasant Bank","1395360000"
"First Community Bank","Taos","NM","12261","U.S. Bank, N.A.","1347408000"
"FirsTier Bank","Louisville","CO","57646","No Acquirer","1347408000"
"Evergreen State Bank","Stoughton","WI","5328","McFarland State Bank","1347408000"
"The First State Bank","Camargo","OK","2303","Bank 7","1347408000"
"United Western Bank","Denver","CO","31293","First-Citizens Bank & Trust Company","1347408000"
"The Bank of Asheville","Asheville","NC","34516","First Bank","1395360000"
"CommunitySouth Bank & Trust","Easley","SC","57868","CertusBank, National Association","1395360000"
"Enterprise Banking Company","McDonough","GA","19758","No Acquirer","1395360000"
"Oglethorpe Bank","Brunswick","GA","57440","Bank of the Ozarks","1395360000"
"Legacy Bank","Scottsdale","AZ","57820","Enterprise Bank & Trust","1460419200"
"First Commercial Bank of Florida","Orlando","FL","34965","First Southern Bank","1395360000"
"Community National Bank","Lino Lakes","MN","23306","Farmers & Merchants Savings Bank","1345420800"
"First Southern Bank","Batesville","AR","58052","Southern Bank","1345420800"
"United Americas Bank, N.A.","Atlanta","GA","35065","State Bank and Trust Company","1445040000"
"Appalachian Community Bank, FSB","McCaysville","GA","58495","Peoples Bank of East Tennessee","1395360000"
"Chestatee State Bank","Dawsonville","GA","34578","Bank of the Ozarks","1442793600"
"The Bank of Miami,N.A.","Coral Gables","FL","19040","1st United Bank","1395360000"
"Earthstar Bank","Southampton","PA","35561","Polonia Bank","1345420800"
"Paramount Bank","Farmington Hills","MI","34673","Level One Bank","1442793600"
"First Banking Center","Burlington","WI","5287","First Michigan Bank","1345420800"
"Allegiance Bank of North America","Bala Cynwyd","PA","35078","VIST Bank","1345420800"
"Gulf State Community Bank","Carrabelle","FL","20340","Centennial Bank","1395360000"
"Copper Star Bank","Scottsdale","AZ","35463","Stearns Bank, N.A.","1345420800"
"Darby Bank & Trust Co.","Vidalia","GA","14580","Ameris Bank","1395360000"
"Tifton Banking Company","Tifton","GA","57831","Ameris Bank","1395360000"
"First Vietnamese American Bank","Westminster","CA","57885","Grandpoint Bank","1347408000"
"Pierce Commercial Bank","Tacoma","WA","34411","Heritage Bank","1445212800"
"Western Commercial Bank","Woodland Hills","CA","58087","First California Bank","1347408000"
"K Bank","Randallstown","MD","31263","Manufacturers and Traders Trust Company (M&T Bank)","1345420800"
"First Arizona Savings, A FSB","Scottsdale","AZ","32582","No Acquirer","1345420800"
"Hillcrest Bank","Overland Park","KS","22173","Hillcrest Bank, N.A.","1345420800"
"First Suburban National Bank","Maywood","IL","16089","Seaway Bank and Trust Company","1345420800"
"The First National Bank of Barnesville","Barnesville","GA","2119","United Bank","1445040000"
"The Gordon Bank","Gordon","GA","33904","Morris Bank","1395360000"
"Progress Bank of Florida","Tampa","FL","32251","Bay Cities Bank","1454544000"
"First Bank of Jacksonville","Jacksonville","FL","27573","Ameris Bank","1395360000"
"Premier Bank","Jefferson City","MO","34016","Providence Bank","1345420800"
"WestBridge Bank and Trust Company","Chesterfield","MO","58205","Midland States Bank","1345420800"
"Security Savings Bank, F.S.B.","Olathe","KS","30898","Simmons First National Bank","1345420800"
"Shoreline Bank","Shoreline","WA","35250","GBC International Bank","1345420800"
"Wakulla Bank","Crawfordville","FL","21777","Centennial Bank","1395360000"
"North County Bank","Arlington","WA","35053","Whidbey Island Bank","1460419200"
"Haven Trust Bank Florida","Ponte Vedra Beach","FL","58308","First Southern Bank","1395360000"
"Maritime Savings Bank","West Allis","WI","28612","North Shore Bank, FSB","1345420800"
"Bramble Savings Bank","Milford","OH","27808","Foundation Bank","1345420800"
"The Peoples Bank","Winder","GA","182","Community & Southern Bank","1462320000"
"First Commerce Community Bank","Douglasville","GA","57448","Community & Southern Bank","1462320000"
"Bank of Ellijay","Ellijay","GA","58197","Community & Southern Bank","1395360000"
"ISN Bank","Cherry Hill","NJ","57107","Customers Bank","1345593600"
"Horizon Bank","Bradenton","FL","35061","Bank of the Ozarks","1395360000"
"Sonoma Valley Bank","Sonoma","CA","27259","Westamerica Bank","1347408000"
"Los Padres Bank","Solvang","CA","32165","Pacific Western Bank","1347408000"
"Butte Community Bank","Chico","CA","33219","Rabobank, N.A.","1347408000"
"Pacific State Bank","Stockton","CA","27090","Rabobank, N.A.","1347408000"
"ShoreBank","Chicago","IL","15640","Urban Partnership Bank","1368662400"
"Imperial Savings and Loan Association","Martinsville","VA","31623","River Community Bank, N.A.","1345766400"
"Independent National Bank","Ocala","FL","27344","CenterState Bank of Florida, N.A.","1395360000"
"Community National Bank at Bartow","Bartow","FL","25266","CenterState Bank of Florida, N.A.","1395360000"
"Palos Bank and Trust Company","Palos Heights","IL","17599","First Midwest Bank","1345593600"
"Ravenswood Bank","Chicago","IL","34231","Northbrook Bank & Trust Company","1345593600"
"LibertyBank","Eugene","OR","31964","Home Federal Bank","1345593600"
"The Cowlitz Bank","Longview","WA","22643","Heritage Bank","1345593600"
"Coastal Community Bank","Panama City Beach","FL","9619","Centennial Bank","1395360000"
"Bayside Savings Bank","Port Saint Joe","FL","57669","Centennial Bank","1395360000"
"Northwest Bank & Trust","Acworth","GA","57658","State Bank and Trust Company","1442793600"
"Home Valley Bank","Cave Junction","OR","23181","South Valley Bank & Trust","1347408000"
"SouthwestUSA Bank","Las Vegas","NV","35434","Plaza Bank","1345593600"
"Community Security Bank","New Prague","MN","34486","Roundbank","1454544000"
"Thunder Bank","Sylvan Grove","KS","10506","The Bennington State Bank","1347494400"
"Williamsburg First National Bank","Kingstree","SC","17837","First Citizens Bank and Trust Company, Inc.","1395360000"
"Crescent Bank and Trust Company","Jasper","GA","27559","Renasant Bank","1395360000"
"Sterling Bank","Lantana","FL","32536","IBERIABANK","1395360000"
"Mainstreet Savings Bank, FSB","Hastings","MI","28136","Commercial Bank","1347494400"
"Olde Cypress Community Bank","Clewiston","FL","28864","CenterState Bank of Florida, N.A.","1395360000"
"Turnberry Bank","Aventura","FL","32280","NAFH National Bank","1395360000"
"Metro Bank of Dade County","Miami","FL","25172","NAFH National Bank","1395360000"
"First National Bank of the South","Spartanburg","SC","35383","NAFH National Bank","1395360000"
"Woodlands Bank","Bluffton","SC","32571","Bank of the Ozarks","1442793600"
"Home National Bank","Blackwell","OK","11636","RCB Bank","1355097600"
"USA Bank","Port Chester","NY","58072","New Century Bank","1347580800"
"Ideal Federal Savings Bank","Baltimore","MD","32456","No Acquirer","1431043200"
"Bay National Bank","Baltimore","MD","35462","Bay Bank, FSB","1358208000"
"High Desert State Bank","Albuquerque","NM","35279","First American Bank","1347580800"
"First National Bank","Savannah","GA","34152","The Savannah Bank, N.A.","1395360000"
"Peninsula Bank","Englewood","FL","26563","Premier American Bank, N.A.","1395360000"
"Nevada Security Bank","Reno","NV","57110","Umpqua Bank","1345680000"
"Washington First International Bank","Seattle","WA","32955","East West Bank","1347580800"
"TierOne Bank","Lincoln","NE","29341","Great Western Bank","1347580800"
"Arcola Homestead Savings Bank","Arcola","IL","31813","No Acquirer","1431043200"
"First National Bank","Rosedale","MS","15814","The Jefferson Bank","1395360000"
"Sun West Bank","Las Vegas","NV","34785","City National Bank","1347580800"
"Granite Community Bank, NA","Granite Bay","CA","57315","Tri Counties Bank","1347580800"
"Bank of Florida - Tampa","Tampa","FL","57814","EverBank","1432598400"
"Bank of Florida - Southwest","Naples","FL","35106","EverBank","1432598400"
"Bank of Florida - Southeast","Fort Lauderdale","FL","57360","EverBank","1432598400"
"Pinehurst Bank","Saint Paul","MN","57735","Coulee Bank","1351209600"
"Midwest Bank and Trust Company","Elmwood Park","IL","18117","FirstMerit Bank, N.A.","1345680000"
"Southwest Community Bank","Springfield","MO","34255","Simmons First National Bank","1454544000"
"New Liberty Bank","Plymouth","MI","35586","Bank of Ann Arbor","1345680000"
"Satilla Community Bank","Saint Marys","GA","35114","Ameris Bank","1395360000"
"1st Pacific Bank of California","San Diego","CA","35517","City National Bank","1355356800"
"Towne Bank of Arizona","Mesa","AZ","57697","Commerce Bank of Arizona","1345680000"
"Access Bank","Champlin","MN","16476","PrinsBank","1423094400"
"The Bank of Bonifay","Bonifay","FL","14246","First Federal Bank of Florida","1352073600"
"Frontier Bank","Everett","WA","22710","Union Bank, N.A.","1358208000"
"BC National Banks","Butler","MO","17792","Community First Bank","1345680000"
"Champion Bank","Creve Coeur","MO","58362","BankLiberty","1345680000"
"CF Bancorp","Port Huron","MI","30005","First Michigan Bank","1460505600"
"Westernbank Puerto Rico","Mayaguez","PR","31027","Banco Popular de Puerto Rico","1395360000"
"R-G Premier Bank of Puerto Rico","Hato Rey","PR","32185","Scotiabank de Puerto Rico","1438732800"
"Eurobank","San Juan","PR","27150","Oriental Bank and Trust","1395360000"
"Wheatland Bank","Naperville","IL","58429","Wheaton Bank & Trust","1345680000"
"Peotone Bank and Trust Company","Peotone","IL","10888","First Midwest Bank","1345680000"
"Lincoln Park Savings Bank","Chicago","IL","30600","Northbrook Bank & Trust Company","1345680000"
"New Century Bank","Chicago","IL","34821","MB Financial Bank, N.A.","1345680000"
"Citizens Bank and Trust Company of Chicago","Chicago","IL","34658","Republic Bank of Chicago","1401926400"
"Broadway Bank","Chicago","IL","22853","MB Financial Bank, N.A.","1345680000"
"Amcore Bank, National Association","Rockford","IL","3735","Harris N.A.","1345680000"
"City Bank","Lynnwood","WA","21521","Whidbey Island Bank","1347580800"
"Tamalpais Bank","San Rafael","CA","33493","Union Bank, N.A.","1345680000"
"Innovative Bank","Oakland","CA","23876","Center Bank","1345680000"
"Butler Bank","Lowell","MA","26619","People's United Bank","1345680000"
"Riverside National Bank of Florida","Fort Pierce","FL","24067","TD Bank, N.A.","1395360000"
"AmericanFirst Bank","Clermont","FL","57724","TD Bank, N.A.","1395360000"
"First Federal Bank of North Florida","Palatka","FL","28886","TD Bank, N.A.","1395360000"
"Lakeside Community Bank","Sterling Heights","MI","34878","No Acquirer","1345680000"
"Beach First National Bank","Myrtle Beach","SC","34242","Bank of North Carolina","1395360000"
"Desert Hills Bank","Phoenix","AZ","57060","New York Community Bank","1345680000"
"Unity National Bank","Cartersville","GA","34678","Bank of the Ozarks","1442793600"
"Key West Bank","Key West","FL","34684","Centennial Bank","1395360000"
"McIntosh Commercial Bank","Carrollton","GA","57399","CharterBank","1395360000"
"State Bank of Aurora","Aurora","MN","8221","Northern State Bank","1454544000"
"First Lowndes Bank","Fort Deposit","AL","24957","First Citizens Bank","1395360000"
"Bank of Hiawassee","Hiawassee","GA","10054","Citizens South Bank","1395360000"
"Appalachian Community Bank","Ellijay","GA","33989","Community & Southern Bank","1395360000"
"Advanta Bank Corp.","Draper","UT","33535","No Acquirer","1459382400"
"Century Security Bank","Duluth","GA","58104","Bank of Upson","1460505600"
"American National Bank","Parma","OH","18806","The National Bank and Trust Company","1442793600"
"Statewide Bank","Covington","LA","29561","Home Bank","1345680000"
"Old Southern Bank","Orlando","FL","58182","Centennial Bank","1395360000"
"The Park Avenue Bank","New York","NY","27096","Valley National Bank","1345680000"
"LibertyPointe Bank","New York","NY","58071","Valley National Bank","1345680000"
"Centennial Bank","Ogden","UT","34430","No Acquirer","1347580800"
"Waterfield Bank","Germantown","MD","34976","No Acquirer","1345680000"
"Bank of Illinois","Normal","IL","9268","Heartland Bank and Trust Company","1345680000"
"Sun American Bank","Boca Raton","FL","27126","First-Citizens Bank & Trust Company","1395360000"
"Rainier Pacific Bank","Tacoma","WA","38129","Umpqua Bank","1345680000"
"Carson River Community Bank","Carson City","NV","58352","Heritage Bank of Nevada","1358208000"
"La Jolla Bank, FSB","La Jolla","CA","32423","OneWest Bank, FSB","1345766400"
"George Washington Savings Bank","Orland Park","IL","29952","FirstMerit Bank, N.A.","1345766400"
"The La Coste National Bank","La Coste","TX","3287","Community National Bank","1408406400"
"Marco Community Bank","Marco Island","FL","57586","Mutual of Omaha Bank","1395360000"
"1st American State Bank of Minnesota","Hancock","MN","15448","Community Development Bank, FSB","1383264000"
"American Marine Bank","Bainbridge Island","WA","16730","Columbia State Bank","1345766400"
"First Regional Bank","Los Angeles","CA","23011","First-Citizens Bank & Trust Company","1457049600"
"Community Bank and Trust","Cornelia","GA","5702","SCBT National Association","1460505600"
"Marshall Bank, N.A.","Hallock","MN","16133","United Valley Bank","1345680000"
"Florida Community Bank","Immokalee","FL","5672","Premier American Bank, N.A.","1395360000"
"First National Bank of Georgia","Carrollton","GA","16480","Community & Southern Bank","1395360000"
"Columbia River Bank","The Dalles","OR","22469","Columbia State Bank","1347580800"
"Evergreen Bank","Seattle","WA","20501","Umpqua Bank","1358208000"
"Charter Bank","Santa Fe","NM","32498","Charter Bank","1345680000"
"Bank of Leeton","Leeton","MO","8265","Sunflower Bank, N.A.","1358208000"
"Premier American Bank","Miami","FL","57147","Premier American Bank, N.A.","1442793600"
"Barnes Banking Company","Kaysville","UT","1252","No Acquirer","1345680000"
"St. Stephen State Bank","St. Stephen","MN","17522","First State Bank of St. Joseph","1460419200"
